"ISIC","ISIC TITLE","NAICSUS","NAICSUS TITLE","notes"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming","112990","All Other Animal Production","other general livestock farms including combinations of animals, such as horses, asses, mules, cattle, sheep and goats"
"0122","Other animal farming; production of animal products n.e.c.","112210","Hog and Pig Farming","hog and pig farming"
"0122","Other animal farming; production of animal products n.e.c.","112310","Chicken Egg Production","chicken eggs"
"0122","Other animal farming; production of animal products n.e.c.","112320","Broilers and Other Meat Type Chicken Production","meat type chickens"
"0122","Other animal farming; production of animal products n.e.c.","112330","Turkey Production","turkeys"
"0122","Other animal farming; production of animal products n.e.c.","112340","Poultry Hatcheries","poultry hatcheries"
"0122","Other animal farming; production of animal products n.e.c.","112390","Other Poultry Production","ducks, geese, quail, pheasant, emu, ostriches"
"0122","Other animal farming; production of animal products n.e.c.","112519","Other Animal Aquaculture","alligator and frog production"
"0122","Other animal farming; production of animal products n.e.c.","112910","Apiculture","beekeeping"
"0122","Other animal farming; production of animal products n.e.c.","112930","Fur-Bearing Animal and Rabbit Production","rabbits, other animals raised for fur"
"0122","Other animal farming; production of animal products n.e.c.","112990","All Other Animal Production","other animal farms including cats, crickets and other insects, dogs, pet birds, snakes, worms, and combinations of swine, poultry and domestic animals"
"0130","Growing of crops combined with farming of animals (mixed farming)","111998","All Other Miscellaneous Crop Farming","combinations of crops, livestock, and animal specialties (primarily crops)"
"0130","Growing of crops combined with farming of animals (mixed farming)","112990","All Other Animal Production","combinations of crops, livestock, and animal specialties (primarily livestock)"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115111","Cotton Ginning","cotton ginning"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115112","Soil Preparation, Planting, and Cultivating","preparation of fields"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115113","Crop Harvesting, Primarily by Machine","harvesting"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115114","Post Harvest Crop Activities (except Cotton Ginning)","post harvest preparation of crops for primary market"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115115","Farm Labor Contractors and Crew Leaders","farm labor contractors and crew leaders"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115116","Farm Management Services","farm management services - running a farm on a contract or fee basis"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","115210","Support Activities for Animal Production","agricultural services for animals, e.g., husbandry, boarding (except pets), registration, spraying, wool grading"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","221310","Water Supply and Irrigation Systems","agricultural irrigation systems"
"0140","Agricultural and animal husbandry service activities, except veterinary activities","561730","Landscaping Services","landscaping services"
"0150","Hunting, trapping and game propagation including related service activities","114210","Hunting and Trapping","hunting and trapping activities"
"0200","Forestry, logging and related service activities","111421","Nursery and Tree Production","short rotation tree farming (such as Christmas trees)"
"0200","Forestry, logging and related service activities","113110","Timber Tract Operations","operating timber tracts"
"0200","Forestry, logging and related service activities","113210","Forest Nurseries and Gathering of Forest Products","gathering forest products in the wild (except mushrooms, truffles), growing seedlings for reforestation and similar"
"0200","Forestry, logging and related service activities","113310","Logging","logging including Christmas trees, fuel wood, and hewn timbers"
"0200","Forestry, logging and related service activities","115310","Support Activities for Forestry","forest firefighting, estimating timber, timber evaluation, forestry inventories, log hauling in the forest"
"0501","Fishing","114111","Finfish Fishing","finfish"
"0501","Fishing","114112","Shellfish Fishing","shellfish"
"0501","Fishing","114119","Other Marine Fishing","seaweed gathering, sponge gathering, and catching turtles and frogs in the wild"
"0501","Fishing","311711","Seafood Canning","gathering and processing of seafood into canned seafood in factory ships (i.e., factory ships that also fish)"
"0501","Fishing","311712","Fresh and Frozen Seafood Processing","gathering and processing seafood into fresh or frozen seafood in factory ships (i.e., factory ships that also fish)"
"0501","Fishing","541990","All Other Professional, Scientific, and Technical Services","fish stock management, contract service "
"0502","Aquaculture","111419","Other Food Crops Grown Under Cover","seaweed grown under cover"
"0502","Aquaculture","111998","All Other Miscellaneous Crop Farming","algae and seaweed farming"
"0502","Aquaculture","112511","Finfish Farming and Fish Hatcheries","finfish farming and hatcheries"
"0502","Aquaculture","112512","Shellfish Farming","shellfish farming including production of cultured pearls"
"0502","Aquaculture","112519","Other Animal Aquaculture","turtle and other animal aquaculture, n.e.c.."
"1010","Mining and agglomeration of hard coal","211111","Crude Petroleum and Natural Gas Extraction","liquefying and extracting coal "
"1010","Mining and agglomeration of hard coal","212111","Bituminous Coal and Lignite Surface Mining","bituminous coal surface mining (including separate locations beneficiating bituminous coal whether from surface or underground mines)"
"1010","Mining and agglomeration of hard coal","212112","Bituminous Coal Underground Mining","bituminous coal underground mining"
"1010","Mining and agglomeration of hard coal","212113","Anthracite Mining","anthracite mining (including separate locations beneficiating anthracite coal)"
"1010","Mining and agglomeration of hard coal","213113","Support Activities for Coal Mining","anthracite coal recovery from culm banks and other contract or fee services to coal mining"
"1010","Mining and agglomeration of hard coal","324199","All Other Petroleum and Coal Products Manufacturing","hard-coal fuel briquettes"
"1020","Mining and agglomeration of lignite","212111","Bituminous Coal and Lignite Surface Mining","lignite surface mining (including separate locations beneficiating lignite whether from surface or underground mines)"
"1020","Mining and agglomeration of lignite","324199","All Other Petroleum and Coal Products Manufacturing","lignite fuel briquettes"
"1030","Extraction and agglomeration of peat","212399","All Other Nonmetallic Mineral Mining","peat mining, digging or beneficiating in combination with mining"
"1110","Extraction of crude petroleum and natural gas","211111","Crude Petroleum and Natural Gas Extraction","extraction of crude petroleum and natural gas"
"1110","Extraction of crude petroleum and natural gas","211112","Natural Gas Liquid Extraction","extraction of natural gas liquids"
"1110","Extraction of crude petroleum and natural gas","488999","All Other Support Activities for Transportation","liquefaction and regasification of natural gas for purpose of transport "
"1120","Service activities incidental to oil and gas extraction excluding surveying","213111","Drilling Oil and Gas Wells","drilling oil and gas wells"
"1120","Service activities incidental to oil and gas extraction excluding surveying","213112","Support Activities for Oil and Gas Operations","derrick construction, repair and dismantling services, cleaning wells, and other services incidental to oil and gas extraction performed on a contract or fee basis"
"1120","Service activities incidental to oil and gas extraction excluding surveying","561990","All Other Support Services","oil and gas field fire fighting services as a commercial activity"
"1200","Mining of uranium and thorium ores","212291","Uranium-Radium-Vanadium Ore Mining","uranium mining and/or beneficiating"
"1200","Mining of uranium and thorium ores","212299","All Other Metal Ore Mining","thorium mining and/or beneficiating"
"1310","Mining of iron ores","212210","Iron Ore Mining","iron ore mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212221","Gold Ore Mining","gold mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212222","Silver Ore Mining","silver ore mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212231","Lead Ore and Zinc Ore Mining","lead and zinc ore mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212234","Copper Ore and Nickel Ore Mining","copper and nickel ore mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212291","Uranium-Radium-Vanadium Ore Mining","vanadium and radium mining and/or beneficiating"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores","212299","All Other Metal Ore Mining","bauxite, cobalt, magnesium, manganese, tungsten, mercury, monazite, molybdenum, rare earths, and other metal ore mining (except gold, silver, lead, zinc, copper, nickel, and vanadium)"
"1410","Quarrying of stone, sand and clay","212311","Dimension Stone Mining and Quarrying","mining or quarrying or building or monument stone (e.g., marble, granite, sandstone, limestone), mining or quarrying slate"
"1410","Quarrying of stone, sand and clay","212312","Crushed and Broken Limestone Mining and Quarrying","crushed and broken limestone, dolomite, and chalk"
"1410","Quarrying of stone, sand and clay","212313","Crushed and Broken Granite Mining and Quarrying","crushed or broken granite"
"1410","Quarrying of stone, sand and clay","212319","Other Crushed and Broken Stone Mining and Quarrying","crushed or broken marble, slate, or stone (except bituminous limestone, bituminous sandstone, and mica schist)"
"1410","Quarrying of stone, sand and clay","212321","Construction Sand and Gravel Mining","quarrying sand or gravel for construction"
"1410","Quarrying of stone, sand and clay","212322","Industrial Sand Mining","mining or quarrying industrial sand"
"1410","Quarrying of stone, sand and clay","212324","Kaolin and Ball Clay Mining","mining or kaolin and ball clay (including separate establishments beneficiating kaolin or ball clay)"
"1410","Quarrying of stone, sand and clay","212325","Clay and Ceramic and Refractory Minerals Mining","mining of ceramic and refractory clays including bentonite (including separate establishments beneficiating these clays)"
"1410","Quarrying of stone, sand and clay","212399","All Other Nonmetallic Mineral Mining","gypsum, alabaster, pulpstone, millstone, and grindstone mining, other crushed stone including anhydrite, pulpstone, millstone, and grindstone"
"1421","Mining of chemical and fertilizer minerals","212312","Crushed and Broken Limestone Mining and Quarrying","quarrying or mining marl"
"1421","Mining of chemical and fertilizer minerals","212391","Potash, Soda, and Borate Mineral Mining","quarrying or mining of potash, soda, and borite minerals"
"1421","Mining of chemical and fertilizer minerals","212392","Phosphate Rock Mining","quarrying or mining of phosphate rock"
"1421","Mining of chemical and fertilizer minerals","212393","Other Chemical and Fertilizer Mineral Mining","quarrying or mining other chemical or fertilizer minerals, such as lithium, arsenic, barium, barite, pyrites, pigments, and fluorspar"
"1422","Extraction of salt","212393","Other Chemical and Fertilizer Mineral Mining","salt extraction or evaporation of brine to obtain salt"
"1422","Extraction of salt","311942","Spice and Extract Manufacturing","mining and processing of table salt"
"1429","Other mining and quarrying n.e.c.","212311","Dimension Stone Mining and Quarrying","dimension mica schist"
"1429","Other mining and quarrying n.e.c.","212319","Other Crushed and Broken Stone Mining and Quarrying","crushed or broken mica schist, bituminous limestone, and bituminous sandstone"
"1429","Other mining and quarrying n.e.c.","212325","Clay and Ceramic and Refractory Minerals Mining","ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)"
"1429","Other mining and quarrying n.e.c.","212399","All Other Nonmetallic Mineral Mining","quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals, n.e.c."
"1511","Production, processing and preserving of meat and meat products","311225","Fats and Oils Refining and Blending","blending edible animal fats and oils"
"1511","Production, processing and preserving of meat and meat products","311611","Animal (except Poultry) Slaughtering","animal slaughtering"
"1511","Production, processing and preserving of meat and meat products","311612","Meat Processed From Carcasses","meat and meat products produced from purchased carcasses and producing finer cuts from purchased meats"
"1511","Production, processing and preserving of meat and meat products","311613","Rendering and Meat Byproduct Processing","rendering and refining of lard and other edible animal fats and oils"
"1511","Production, processing and preserving of meat and meat products","311615","Poultry Processing","poultry and small game slaughtering and meat production, poultry and poultry products produced from purchased poultry meat (including small game meat products)"
"1511","Production, processing and preserving of meat and meat products","311712","Fresh and Frozen Seafood Processing","whale slaughtering "
"1512","Processing and preserving of fish and fish products","311711","Seafood Canning","canning seafood (except soups, chowders, stews, broth, fish oils or the gathering and processing of seafood)"
"1512","Processing and preserving of fish and fish products","311712","Fresh and Frozen Seafood Processing","fresh and frozen seafood (except soups, chowders, stews, broth, fish oils, or the gathering and processing of seafood)"
"1513","Processing and preserving of fruit and vegetables","311211","Flour Milling","potato flour"
"1513","Processing and preserving of fruit and vegetables","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","frozen fruits and vegetables, frozen prepared potato products (e.g., frozen french fries), fruit and vegetable juices and concentrates, frozen"
"1513","Processing and preserving of fruit and vegetables","311412","Frozen Specialty Food Manufacturing","frozen specialties based on fruits or vegetables"
"1513","Processing and preserving of fruit and vegetables","311421","Fruit and Vegetable Canning","canned potatoes, fresh and canned fruit and vegetable juices and concentrates, canned fruits, vegetables, and products including jams and jellies"
"1513","Processing and preserving of fruit and vegetables","311422","Specialty Canning","canned specialties based on fruits or vegetables including baked beans, bean sprouts, Chinese food, and mincemeat"
"1513","Processing and preserving of fruit and vegetables","311423","Dried and Dehydrated Food Manufacturing","dehydrating potato products (e.g., granules and flakes), dried and dehydrated fruits and vegetables"
"1513","Processing and preserving of fruit and vegetables","311911","Roasted Nuts and Peanut Butter Manufacturing","roasted nuts and peanut butter"
"1513","Processing and preserving of fruit and vegetables","311919","Other Snack Food Manufacturing","potato chips and potato snacks"
"1513","Processing and preserving of fruit and vegetables","311930","Flavoring Syrup and Concentrate Manufacturing","fruit juice flavoring syrups and concentrates"
"1513","Processing and preserving of fruit and vegetables","311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","apple cider, non-alcoholic "
"1513","Processing and preserving of fruit and vegetables","311942","Spice and Extract Manufacturing","fruit and fruit juice extracts"
"1513","Processing and preserving of fruit and vegetables","311991","Perishable Prepared Food Manufacturing","fresh cut or peeled potatoes, cole slaw"
"1513","Processing and preserving of fruit and vegetables","311999","All Other Miscellaneous Food Manufacturing","fresh cut or peeled fruits and vegetables"
"1514","Manufacture of vegetable and animal oils and fats","311222","Soybean Processing","soybean oils, crude or refined in crushing mills,soy based margarine, shortening, and similar edible oils made in crushing mills"
"1514","Manufacture of vegetable and animal oils and fats","311223","Other Oilseed Processing","refined oilseed oils made in crushing mills (except soybean), crude oilseed oils (except soybean), margarine, shortening, and similar edible oils (except soy based) made in oilseed crushing mills, integrated olive growing and olive oil production"
"1514","Manufacture of vegetable and animal oils and fats","311225","Fats and Oils Refining and Blending","refining and blending purchased animal, vegetable and oilseed fats and/or oils, margarine, shortening, and similar edible oils made from purchased oils"
"1514","Manufacture of vegetable and animal oils and fats","311613","Rendering and Meat Byproduct Processing","rendering inedible animal fats and oils"
"1514","Manufacture of vegetable and animal oils and fats","311711","Seafood Canning","canned fish oils"
"1514","Manufacture of vegetable and animal oils and fats","311712","Fresh and Frozen Seafood Processing","frozen fish oils"
"1520","Manufacture of dairy products","311511","Fluid Milk Manufacturing","fluid milk and products such as sour cream, cottage cheese, sour cream dips, yogurt, nonalcoholic eggnog, and flavored milk drinks"
"1520","Manufacture of dairy products","311512","Creamery Butter Manufacturing","butter manufacturing"
"1520","Manufacture of dairy products","311513","Cheese Manufacturing","cheese and cheese products, such as cheese dip"
"1520","Manufacture of dairy products","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","dry, condensed, and evaporated milk, whey, lactose, ultra heat treated milk"
"1520","Manufacture of dairy products","311520","Ice Cream and Frozen Dessert Manufacturing","ice cream frozen ice, frozen yogurt, sorbet, frozen tofu, frozen pudding, frozen juice pops, and similar frozen desserts"
"1531","Manufacture of grain mill products","311119","Other Animal Food Manufacturing","custom grinding grain"
"1531","Manufacture of grain mill products","311211","Flour Milling","manufacturing grain flour (except rice) and/or milling flower and producing mixes or dough, fruit and vegetable flour"
"1531","Manufacture of grain mill products","311212","Rice Milling","rice milling, rice flour"
"1531","Manufacture of grain mill products","311230","Breakfast Cereal Manufacturing","manufacture of cereal breakfast foods"
"1531","Manufacture of grain mill products","311822","Flour Mixes and Dough Manufacturing from Purchased Flour","manufacturing flour mixes and dough from purchased flour"
"1532","Manufacture of starches and starch products","311221","Wet Corn Milling","crude vegetable oils produced by wet milling, refined vegetable oils made in wet milling plants, margarine, shortening, and similar edible oils made in wet milling plants, wet corn milling and starches and starch products"
"1532","Manufacture of starches and starch products","311225","Fats and Oils Refining and Blending","corn oil made from purchased oil"
"1533","Manufacture of prepared animal feeds","311111","Dog and Cat Food Manufacturing","dog and cat food manufacturing"
"1533","Manufacture of prepared animal feeds","311119","Other Animal Food Manufacturing","farm animal feeds, pet (except dog and cat) food and specialty foods, such as worm food and fish food"
"1541","Manufacture of bakery products","311412","Frozen Specialty Food Manufacturing","frozen french toast, waffles, and pancakes (NAICS US and NAICS Canada, SCIAN 311813)"
"1541","Manufacture of bakery products","311811","Retail Bakeries","manufacture of fresh bread, pastry goods and cakes on the premises, from scratch, not for immediate consumption"
"1541","Manufacture of bakery products","311812","Commercial Bakeries","commercial production of fresh bread, pastry goods, and cakes, manufacture of frozen bread"
"1541","Manufacture of bakery products","311813","Frozen Cakes, Pies, and Other Pastries Manufacturing","manufacture of frozen pastry goods and cakes"
"1541","Manufacture of bakery products","311821","Cookie and Cracker Manufacturing","manufacture of cookies, crackers, and similar products, such as ice cream cones"
"1541","Manufacture of bakery products","311830","Tortilla Manufacturing","tortilla manufacturing"
"1541","Manufacture of bakery products","311919","Other Snack Food Manufacturing","manufacture of baked snacks, such as corn chips, pretzels, and tortilla chips"
"1542","Manufacture of sugar","111998","All Other Miscellaneous Crop Farming","maple sugars and syrups produced in a separate central facility "
"1542","Manufacture of sugar","311311","Sugarcane Mills","manufacture of raw cane sugar from sugarcane and the manufacture of refined sugar in sugarcane mills (integrated production)"
"1542","Manufacture of sugar","311312","Cane Sugar Refining","manufacture of refined cane sugar from purchased raw cane sugar"
"1542","Manufacture of sugar","311313","Beet Sugar Manufacturing","processing refined beet sugar from sugar beets"
"1543","Manufacture of cocoa, chocolate and sugar confectionery","311320","Chocolate and Confectionery Manufacturing from Cacao Beans","processing cacao beans, manufacture of chocolate confections starting with cacao beans"
"1543","Manufacture of cocoa, chocolate and sugar confectionery","311330","Confectionery Manufacturing from Purchased Chocolate","manufacturing confections from purchased chocolate"
"1543","Manufacture of cocoa, chocolate and sugar confectionery","311340","Nonchocolate Confectionery Manufacturing","sugar confectionery, nonchocolate"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products","311412","Frozen Specialty Food Manufacturing","prepared frozen pasta products (frozen pasta or pasta combined with other ingredients)"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products","311422","Specialty Canning","prepared canned pasta products, such as canned spaghetti or canned noodles"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products","311823","Dry Pasta Manufacturing","manufacture of dry pasta or dried pasta mixed with other ingredients when the pasta is made in the same establishment"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products","311991","Perishable Prepared Food Manufacturing","fresh pasta"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products","311999","All Other Miscellaneous Food Manufacturing","fried noodles and dried pasta mixes made entirely of purchased dried ingredients"
"1549","Manufacture of other food products n.e.c.","311340","Nonchocolate Confectionery Manufacturing","sugarless confectionery and gum, nonchocolate breakfast bars, granola bars and clusters, and similar sportsman food preparations"
"1549","Manufacture of other food products n.e.c.","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","dietetic homogenized frozen fruits, juices, or vegetables"
"1549","Manufacture of other food products n.e.c.","311412","Frozen Specialty Food Manufacturing","dietetic and low sodium frozen specialty foods, other frozen specialties including dinners, pizza, soups, pot pies, and whipped topping"
"1549","Manufacture of other food products n.e.c.","311421","Fruit and Vegetable Canning","catsup and similar tomato sauces, fruits and vegetables, canned, homogenized or dietetic"
"1549","Manufacture of other food products n.e.c.","311422","Specialty Canning","baby food, including meat, canned; dietetic foods, canned, soups, meats, and other prepared foods"
"1549","Manufacture of other food products n.e.c.","311423","Dried and Dehydrated Food Manufacturing","soup mixes"
"1549","Manufacture of other food products n.e.c.","311513","Cheese Manufacturing","imitation or substitute cheese products"
"1549","Manufacture of other food products n.e.c.","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","infant formula, dietary drinks (dairy and nondairy)"
"1549","Manufacture of other food products n.e.c.","311711","Seafood Canning","soups, chowders, stews, and broth"
"1549","Manufacture of other food products n.e.c.","311712","Fresh and Frozen Seafood Processing","soups, chowders, stews, and broth"
"1549","Manufacture of other food products n.e.c.","311919","Other Snack Food Manufacturing","manufacture of snacks, such as corn chips, pretzels, and tortilla chips not prepared by baking"
"1549","Manufacture of other food products n.e.c.","311920","Coffee and Tea Manufacturing","manufacture of tea, coffee, coffee and tea substitutes, extracts, flavorings, etc. "
"1549","Manufacture of other food products n.e.c.","311930","Flavoring Syrup and Concentrate Manufacturing","flavoring syrup and concentrates (except fruit juice based)"
"1549","Manufacture of other food products n.e.c.","311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","vinegar, mayonnaise, dressings, and other prepared sauces"
"1549","Manufacture of other food products n.e.c.","311942","Spice and Extract Manufacturing","manufacture of spices"
"1549","Manufacture of other food products n.e.c.","311991","Perishable Prepared Food Manufacturing","salads, sandwiches, peeled or cut vegetables including potatoes, box lunches, prepared meals, tofu (bean curd), pizza, and other prepared packaged perishable foods for immediate use but not necessarily for immediate consumption "
"1549","Manufacture of other food products n.e.c.","311999","All Other Miscellaneous Food Manufacturing","dried or processed eggs, gelatin and thickeners, yeast, dried food mixes made from purchased dried ingredients (no drying or dehydrating), and other foods, n.e.c."
"1549","Manufacture of other food products n.e.c.","312113","Ice Manufacturing","ice manufacturing for food purposes"
"1551","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials","312130","Wineries","brandies and fruit spirits"
"1551","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials","312140","Distilleries","potable distilled alcoholic beverages (except brandies) and blending liqueurs and other ingredients without distilling, manufacture of potable ethyl alcohol, blending and mixing distilled spirits without distilling"
"1551","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials","325193","Ethyl Alcohol Manufacturing","manufacture of fermented nonpotable ethyl alcohol"
"1552","Manufacture of wines","312130","Wineries","manufacture of grape wines, manufacture of fruit wines, alcoholic cider, and apple jack; blending wine, vermouth and wine coolers, blending wines"
"1553","Manufacture of malt liquors and malt","311213","Malt Manufacturing","malt manufacturing "
"1553","Manufacture of malt liquors and malt","312120","Breweries","manufacture of beer, ale, lager, etc."
"1554","Manufacture of soft drinks; production of mineral waters","312111","Soft Drink Manufacturing","manufacturing of soft drinks and artificially carbonated waters"
"1554","Manufacture of soft drinks; production of mineral waters","312112","Bottled Water Manufacturing","purifying and bottling water"
"1600","Manufacture of tobacco products","312210","Tobacco Stemming and Redrying","stemming and redrying tobacco "
"1600","Manufacture of tobacco products","312221","Cigarette Manufacturing","manufacturing tobacco cigarettes and imitation tobacco cigarettes"
"1600","Manufacture of tobacco products","312229","Other Tobacco Product Manufacturing","manufacturing snuff, chewing tobacco, cigars, pipe tobacco, and reconstituted tobacco"
"1711","Preparation and spinning of textile fibres; weaving of textiles","313111","Yarn Spinning Mills","manufacture of paper jute, ramie, and other hard fiber yarns, silk yarn, flax-type fiber yarns, cotton-type fiber yarns, or worsted-type fiber yarns from purchased fibers"
"1711","Preparation and spinning of textile fibres; weaving of textiles","313112","Yarn Texturizing, Throwing, and Twisting Mills","manufacture of woolen-type yarns, hard fiber yarns, flax-type yarns,flax-type yarns, worsted-type yarns, silk yarns from purchased yarn, manufacture of synthetic or artificial filament yarns, or cotton-type yarns from purchased yarn"
"1711","Preparation and spinning of textile fibres; weaving of textiles","313113","Thread Mills","manufacture of sewing threads of any textile material"
