"ISIC","NAICSUS","notes"
"0130","112990","combinations of crops, livestock, and animal specialties (primarily livestock)"
"0140","115111","cotton ginning"
"0140","115112","preparation of fields"
"0140","115113","harvesting"
"0140","115114","post harvest preparation of crops for primary market"
"0140","115115","farm labor contractors and crew leaders"
"0140","115116","farm management services - running a farm on a contract or fee basis"
"0140","115210","agricultural services for animals, e.g., husbandry, boarding (except pets), registration, spraying, wool grading"
"0140","221310","agricultural irrigation systems"
"0140","561730","landscaping services"
"0150","114210","hunting and trapping activities"
"0200","111421","short rotation tree farming (such as Christmas trees)"
"0200","113110","operating timber tracts"
"0200","113210","gathering forest products in the wild (except mushrooms, truffles), growing seedlings for reforestation and similar"
"0200","113310","logging including Christmas trees, fuel wood, and hewn timbers"
"0200","115310","forest firefighting, estimating timber, timber evaluation, forestry inventories, log hauling in the forest"
"0501","114111","finfish"
"0501","114112","shellfish"
"0501","114119","seaweed gathering, sponge gathering, and catching turtles and frogs in the wild"
"0501","311711","gathering and processing of seafood into canned seafood in factory ships (i.e., factory ships that also fish)"
"0501","311712","gathering and processing seafood into fresh or frozen seafood in factory ships (i.e., factory ships that also fish)"
"0501","541990","fish stock management, contract service "
"0502","111419","seaweed grown under cover"
"0502","111998","algae and seaweed farming"
"0502","112511","finfish farming and hatcheries"
"0502","112512","shellfish farming including production of cultured pearls"
"0502","112519","turtle and other animal aquaculture, n.e.c.."
"1010","211111","liquefying and extracting coal "
"1010","212111","bituminous coal surface mining (including separate locations beneficiating bituminous coal whether from surface or underground mines)"
"1010","212112","bituminous coal underground mining"
"1010","212113","anthracite mining (including separate locations beneficiating anthracite coal)"
"1010","213113","anthracite coal recovery from culm banks and other contract or fee services to coal mining"
"1010","324199","hard-coal fuel briquettes"
"1020","212111","lignite surface mining (including separate locations beneficiating lignite whether from surface or underground mines)"
"1020","324199","lignite fuel briquettes"
"1030","212399","peat mining, digging or beneficiating in combination with mining"
"1110","211111","extraction of crude petroleum and natural gas"
"1110","211112","extraction of natural gas liquids"
"1110","488999","liquefaction and regasification of natural gas for purpose of transport "
"1120","213111","drilling oil and gas wells"
"1120","213112","derrick construction, repair and dismantling services, cleaning wells, and other services incidental to oil and gas extraction performed on a contract or fee basis"
"1120","561990","oil and gas field fire fighting services as a commercial activity"
"1200","212291","uranium mining and/or beneficiating"
"1200","212299","thorium mining and/or beneficiating"
"1310","212210","iron ore mining and/or beneficiating"
"1320","212221","gold mining and/or beneficiating"
"1320","212222","silver ore mining and/or beneficiating"
"1320","212231","lead and zinc ore mining and/or beneficiating"
"1320","212234","copper and nickel ore mining and/or beneficiating"
"1320","212291","vanadium and radium mining and/or beneficiating"
"1320","212299","bauxite, cobalt, magnesium, manganese, tungsten, mercury, monazite, molybdenum, rare earths, and other metal ore mining (except gold, silver, lead, zinc, copper, nickel, and vanadium)"
"1410","212311","mining or quarrying or building or monument stone (e.g., marble, granite, sandstone, limestone), mining or quarrying slate"
"1410","212312","crushed and broken limestone, dolomite, and chalk"
"1410","212313","crushed or broken granite"
"1410","212319","crushed or broken marble, slate, or stone (except bituminous limestone, bituminous sandstone, and mica schist)"
"1410","212321","quarrying sand or gravel for construction"
"1410","212322","mining or quarrying industrial sand"
"1410","212324","mining or kaolin and ball clay (including separate establishments beneficiating kaolin or ball clay)"
"1410","212325","mining of ceramic and refractory clays including bentonite (including separate establishments beneficiating these clays)"
"1410","212399","gypsum, alabaster, pulpstone, millstone, and grindstone mining, other crushed stone including anhydrite, pulpstone, millstone, and grindstone"
"1421","212312","quarrying or mining marl"
"1421","212391","quarrying or mining of potash, soda, and borite minerals"
"1421","212392","quarrying or mining of phosphate rock"
"1421","212393","quarrying or mining other chemical or fertilizer minerals, such as lithium, arsenic, barium, barite, pyrites, pigments, and fluorspar"
"1422","212393","salt extraction or evaporation of brine to obtain salt"
"1422","311942","mining and processing of table salt"
"1429","212311","dimension mica schist"
"1429","212319","crushed or broken mica schist, bituminous limestone, and bituminous sandstone"
"1429","212325","ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)"
"1429","212399","quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals, n.e.c."
"1511","311225","blending edible animal fats and oils"
"1511","311611","animal slaughtering"
"1511","311612","meat and meat products produced from purchased carcasses and producing finer cuts from purchased meats"
"1511","311613","rendering and refining of lard and other edible animal fats and oils"
"1511","311615","poultry and small game slaughtering and meat production, poultry and poultry products produced from purchased poultry meat (including small game meat products)"
"1511","311712","whale slaughtering "
"1512","311711","canning seafood (except soups, chowders, stews, broth, fish oils or the gathering and processing of seafood)"
"1512","311712","fresh and frozen seafood (except soups, chowders, stews, broth, fish oils, or the gathering and processing of seafood)"
"1513","311211","potato flour"
"1513","311411","frozen fruits and vegetables, frozen prepared potato products (e.g., frozen french fries), fruit and vegetable juices and concentrates, frozen"
"1513","311412","frozen specialties based on fruits or vegetables"
"1513","311421","canned potatoes, fresh and canned fruit and vegetable juices and concentrates, canned fruits, vegetables, and products including jams and jellies"
"1513","311422","canned specialties based on fruits or vegetables including baked beans, bean sprouts, Chinese food, and mincemeat"
"1513","311423","dehydrating potato products (e.g., granules and flakes), dried and dehydrated fruits and vegetables"
"1513","311911","roasted nuts and peanut butter"
"1513","311919","potato chips and potato snacks"
"1513","311930","fruit juice flavoring syrups and concentrates"
"1513","311941","apple cider, non-alcoholic "
"1513","311942","fruit and fruit juice extracts"
"1513","311991","fresh cut or peeled potatoes, cole slaw"
"1513","311999","fresh cut or peeled fruits and vegetables"
"1514","311222","soybean oils, crude or refined in crushing mills,soy based margarine, shortening, and similar edible oils made in crushing mills"
"1514","311223","refined oilseed oils made in crushing mills (except soybean), crude oilseed oils (except soybean), margarine, shortening, and similar edible oils (except soy based) made in oilseed crushing mills, integrated olive growing and olive oil production"
"1514","311225","refining and blending purchased animal, vegetable and oilseed fats and/or oils, margarine, shortening, and similar edible oils made from purchased oils"
"1514","311613","rendering inedible animal fats and oils"
"1514","311711","canned fish oils"
"1514","311712","frozen fish oils"
"1520","311511","fluid milk and products such as sour cream, cottage cheese, sour cream dips, yogurt, nonalcoholic eggnog, and flavored milk drinks"
"1520","311512","butter manufacturing"
"1520","311513","cheese and cheese products, such as cheese dip"
"1520","311514","dry, condensed, and evaporated milk, whey, lactose, ultra heat treated milk"
"1520","311520","ice cream frozen ice, frozen yogurt, sorbet, frozen tofu, frozen pudding, frozen juice pops, and similar frozen desserts"
"1531","311119","custom grinding grain"
"1531","311211","manufacturing grain flour (except rice) and/or milling flower and producing mixes or dough, fruit and vegetable flour"
"1531","311212","rice milling, rice flour"
"1531","311230","manufacture of cereal breakfast foods"
"1531","311822","manufacturing flour mixes and dough from purchased flour"
"1532","311221","crude vegetable oils produced by wet milling, refined vegetable oils made in wet milling plants, margarine, shortening, and similar edible oils made in wet milling plants, wet corn milling and starches and starch products"
"1532","311225","corn oil made from purchased oil"
"1533","311111","dog and cat food manufacturing"
"1533","311119","farm animal feeds, pet (except dog and cat) food and specialty foods, such as worm food and fish food"
"1541","311412","frozen french toast, waffles, and pancakes (NAICS US and NAICS Canada, SCIAN 311813)"
"1541","311811","manufacture of fresh bread, pastry goods and cakes on the premises, from scratch, not for immediate consumption"
"1541","311812","commercial production of fresh bread, pastry goods, and cakes, manufacture of frozen bread"
"1541","311813","manufacture of frozen pastry goods and cakes"
"1541","311821","manufacture of cookies, crackers, and similar products, such as ice cream cones"
"1541","311830","tortilla manufacturing"
"1541","311919","manufacture of baked snacks, such as corn chips, pretzels, and tortilla chips"
"1542","111998","maple sugars and syrups produced in a separate central facility "
"1542","311311","manufacture of raw cane sugar from sugarcane and the manufacture of refined sugar in sugarcane mills (integrated production)"
"1542","311312","manufacture of refined cane sugar from purchased raw cane sugar"
"1542","311313","processing refined beet sugar from sugar beets"
"1543","311320","processing cacao beans, manufacture of chocolate confections starting with cacao beans"
"1543","311330","manufacturing confections from purchased chocolate"
"1543","311340","sugar confectionery, nonchocolate"
"1544","311412","prepared frozen pasta products (frozen pasta or pasta combined with other ingredients)"
"1544","311422","prepared canned pasta products, such as canned spaghetti or canned noodles"
"1544","311823","manufacture of dry pasta or dried pasta mixed with other ingredients when the pasta is made in the same establishment"
"1544","311991","fresh pasta"
"1544","311999","fried noodles and dried pasta mixes made entirely of purchased dried ingredients"
"1549","311340","sugarless confectionery and gum, nonchocolate breakfast bars, granola bars and clusters, and similar sportsman food preparations"
"1549","311411","dietetic homogenized frozen fruits, juices, or vegetables"
"1549","311412","dietetic and low sodium frozen specialty foods, other frozen specialties including dinners, pizza, soups, pot pies, and whipped topping"
"1549","311421","catsup and similar tomato sauces, fruits and vegetables, canned, homogenized or dietetic"
"1549","311422","baby food, including meat, canned; dietetic foods, canned, soups, meats, and other prepared foods"
"1549","311423","soup mixes"
"1549","311513","imitation or substitute cheese products"
"1549","311514","infant formula, dietary drinks (dairy and nondairy)"
"1549","311711","soups, chowders, stews, and broth"
"1549","311712","soups, chowders, stews, and broth"
"1549","311919","manufacture of snacks, such as corn chips, pretzels, and tortilla chips not prepared by baking"
"1549","311920","manufacture of tea, coffee, coffee and tea substitutes, extracts, flavorings, etc. "
"1549","311930","flavoring syrup and concentrates (except fruit juice based)"
"1549","311941","vinegar, mayonnaise, dressings, and other prepared sauces"
"1549","311942","manufacture of spices"
"1549","311991","salads, sandwiches, peeled or cut vegetables including potatoes, box lunches, prepared meals, tofu (bean curd), pizza, and other prepared packaged perishable foods for immediate use but not necessarily for immediate consumption "
"1549","311999","dried or processed eggs, gelatin and thickeners, yeast, dried food mixes made from purchased dried ingredients (no drying or dehydrating), and other foods, n.e.c."
"1549","312113","ice manufacturing for food purposes"
"1551","312130","brandies and fruit spirits"
"1551","312140","potable distilled alcoholic beverages (except brandies) and blending liqueurs and other ingredients without distilling, manufacture of potable ethyl alcohol, blending and mixing distilled spirits without distilling"
"1551","325193","manufacture of fermented nonpotable ethyl alcohol"
"1552","312130","manufacture of grape wines, manufacture of fruit wines, alcoholic cider, and apple jack; blending wine, vermouth and wine coolers, blending wines"
"1553","311213","malt manufacturing "
"1553","312120","manufacture of beer, ale, lager, etc."
"1554","312111","manufacturing of soft drinks and artificially carbonated waters"
"1554","312112","purifying and bottling water"
"1600","312210","stemming and redrying tobacco "
"1600","312221","manufacturing tobacco cigarettes and imitation tobacco cigarettes"
"1600","312229","manufacturing snuff, chewing tobacco, cigars, pipe tobacco, and reconstituted tobacco"
"1711","313111","manufacture of paper jute, ramie, and other hard fiber yarns, silk yarn, flax-type fiber yarns, cotton-type fiber yarns, or worsted-type fiber yarns from purchased fibers"
"1711","313112","manufacture of woolen-type yarns, hard fiber yarns, flax-type yarns,flax-type yarns, worsted-type yarns, silk yarns from purchased yarn, manufacture of synthetic or artificial filament yarns, or cotton-type yarns from purchased yarn"
"1711","313113","manufacture of sewing threads of any textile material"
"1711","313210","flax, ramie, jute and other hard fiber, silk and manmade, worsted-type, woolen, or cotton broadwoven fabrics (including woven fiberglass fabric), fabricated textile articles (linens for example) made in broadwoven fabric mills"
"1711","313312","preparation of fibers, such as carding and combing, hard fibers, silk or manmade textile fibers, flax-type fibers, worsted-type fibers or woolen-type fibers, such as degreasing, carbonizing, and carding"
"1711","314999","processing textile mill waste, silk and manmade fibers, cotton, woolen, worksted-type, flax-type"
"1712","313311","finishing broadwoven fabrics"
"1712","313312","finishing fabrics and textile products, other than broadwoven"
"1712","313320","waterproofing, coating, impregnating, etc., apparel products for others"
"1712","314999","embroidery, decorative stitching, dyeing, etc., on textile articles"
"1712","323113","screen printing on made up textile products, including apparel"
"1712","561990","cloth cutting, winding, or bolting for the trade"
"1721","314121","curtains and draperies made from purchased fabric"
"1721","314129","bed spreads, sheets, towels, tablecloths, shower curtains, etc., made from purchased materials"
"1721","314911","textile bags made from purchased materials"
"1721","314912","canvas and related products, such as sails, awnings, tarps, etc."
"1721","314999","miscellaneous textile products, such as dust cloths, sleeping bags, etc."
"1721","336360","tire covers made from purchased fabrics"
"1721","337920","manufacturing blinds and window shades of canvas and similar textile fabrics"
"1721","339113","surgical drapes"
"1721","811310","repairing of fertilizer and chemical storage bags "
"1722","314110","carpets and rugs and associated activities such as dyeing and finishing carpets and rugs"
"1722","314999","rug binding for the trade and carpet cutting, carpets made from purchased fabric"
"1723","314991","rope, cordage, and twine and products thereof made in cordage and rope mills"
"1723","314999","knotted rope net products made from purchased rope"
"1723","811310","repairing fishing nets, including mending"
"1729","313221","manufacture of narrow fabrics and products thereof such as labels, bindings, elastics, webbing, shoe laces, and similar narrow goods"
"1729","313222","Schiffli machine embroideries"
"1729","313230","nonwoven blankets and similar items made in nonwoven fabric mills, manufacture of nonwoven fabrics and felts, including wicks and wicking, nonwoven fabric and products thereof made in the same establishment"
"1729","313249","lace and lace products (except finishing)"
"1729","313320","coating or impregnating purchased fabrics, including buckram, painters canvas, etc."
"1729","314992","tire cord and fabric of all materials, reinforcing for industrial belting and similar uses"
"1729","314999","bats, batting, upholstery filling, textile fire hose, and similar industrial textile products"
"1729","315999","hat, cap, apparel, umbrella, and similar trimmings made from purchased fabrics"
"1729","322222","pressure-sensitive cloth tape"
"1729","322291","manufacturing sanitary paper products, such as tampons and napkins, from purchased textile fibers"
"1729","332992","ammunition wads"
"1729","335129","incandescent mantles"
"1729","336360","automotive trimmings"
"1729","339942","artists' canvas boards and tracing cloth"
"1729","339991","textile gaskets"
"1730","313241","weft knit fabric, textile products (except apparel) made in weft knitting mills"
"1730","313249","warp and other knit fabric, lace fabric, textile products (except apparel) made in other knit fabric and lace mills"
"1730","315111","sheer hosiery"
"1730","315119","hosiery (except sheer)"
"1730","315191","infants' apparel made in outerwear knitting mills, gloves or mittens, sweaters, sweater jackets, cardigans, pullovers, & similar garments  (male & female) made in knitting mills. establishments knit garments & may further finish the garments"
"1730","315192","underwear and nightwear made in knitting mills"
"1810","313320","coating, rubberizing, or impregnating purchased garments (own account garments as output)"
"1810","314999","cloth diapers "
"1810","315211","cutting and sewing contractors for work clothing, infants' apparel and other wearing apparel and accessories, leather clothing, other underwear and nightwear, or other outerwear"
"1810","315212","cutting and sewing contractors for work clothing, work clothing, infants' apparel and other wearing apparel and accessories, leather clothing, other underwear and nightwear, or other outerwear"
"1810","315221","underwear and nightwear"
"1810","315222","suits, coats, overcoats and similar dress apparel"
"1810","315223","outerwear shirts or T-shirts, including unisex sized (S, M, L, XL, etc.)"
"1810","315224","pants, trousers, dungarees, etc."
"1810","315225","cut and sew work clothing"
"1810","315228","sweaters, sweater jackets, cardigans, pullovers and similar garments, including sweatshirts made from purchased knitted fabrics, track suits, swimwear, ski suits, etc., other men's and boys' outerwear"
"1810","315231","underwear and nightwear"
"1810","315232","outerwear shirts, blouses and T-shirts"
"1810","315233","dresses"
"1810","315234","suits, tailored jackets, and skirts"
"1810","315239","sweaters, sweater jackets, cardigans, pullovers and similar garments, including sweatshirts made from purchased knitted fabrics, cut and sew work clothing, other women's and girls' outerwear, track suits, swimwear, ski suits, etc."
"1810","315291","infants' cut and sew apparel"
"1810","315292","leather clothing, fur and leather hats and caps"
"1810","315299","cut and sew waterproof apparel, capes, gowns, etc."
"1810","315991","hats, caps, and millinery"
"1810","315992","gloves and mittens"
"1810","315993","ties and other neckwear"
"1810","315999","women's scarves, apparel belts, handkerchiefs, etc., made from purchased fabrics"
"1810","316999","complete leather protective garments for welders, etc., leather industrial work accessories,  including welders’ leather aprons"
"1810","339113","fire-resistant and protective safety clothing"
"1810","339999","hair nets"
"1820","315211","cut and sew contractors for artificial fur coats"
"1820","315212","cut and sew contractors for artificial fur coats"
"1820","315234","cut and sew artificial fur coats"
"1820","315292","fur apparel (except hats)"
"1820","315992","fur gloves and mittens"
"1820","316110","tanning and finishing furs and hides with hair"
"1911","316110","tanning and finishing leather"
"1912","314911","plastics blanket bags - sewn"
"1912","316991","manufacturing luggage of any material"
"1912","316992","manufacturing handbags and purses for any material (except precious metal)"
"1912","316993","manufacture of small articles carried about the person or in a handbag (key cases, billfolds, toilet kits, watchbands, etc.) of all materials (except precious metal)"
"1912","316999","saddlery, dog furnishings (collars and leashes), leather belting for machinery, and similar leather products"
"1912","339113","linemen’s safety belts and other belts for occupational use"
"1912","339991","leather gaskets"
"1920","316211","rubber or plastic footwear"
"1920","316212","slippers"
"1920","316213","men's dress, work, and casual footwear"
"1920","316214","women's dress, work, and casual footwear"
"1920","316219","athletic footwear, infants footwear, cleated footwear, etc."
"1920","316999","footwear cut stock (uppers, soles, etc.)"
"1920","321999","wood heels"
"1920","326199","plastic footwear parts"
"1920","326299","rubber boot and shoe heels and soles and other rubber footwear parts"
"2010","113310","production of wood chips in the forest, portable chipper mills"
"2010","321113","wood and wood products produced in sawmills (except shingles and shakes)"
"2010","321114","treating wood and wood products or cutting wood for posts, poles, and the like and further treating the cut wood products"
"2010","321912","cutting, resawing, or planing lumber initially cut in other locations"
"2010","321918","wood flooring, strip"
"2010","321999","excelsior, wood wool, kiln drying of lumber"
"2021","321211","hardwood veneer and plywood"
"2021","321212","softwood veneer and plywood"
"2021","321219","sheets, boards, and panels made by combining wood chips or strands with adhesive or binders"
"2022","321113","dimension lumber (i.e. building lumber, or solid wood structural members), shingles, and shakes made in sawmills"
"2022","321213","LVL (laminated veneer lumber), fabricated wood I-joists, and similar engineered wood members"
"2022","321214","wood trusses"
"2022","321911","wood windows, doors, sashes, and similar items made of wood or wood clad in vinyl or metal"
"2022","321912","dimension lumber (i.e. building lumber or solid wood structural members) made by cutting resawing or planing purchased rough lumber"
"2022","321918","millwork, such as parquet flooring, moldings, trim, stairwork, cornices, mantles, and similar decorative wood articles for building"
"2022","321991","mobile homes "
"2022","321992","prefabricated buildings and sections of prefabricated buildings"
"2022","337215","wood partitions (except free-standing)"
"2023","321920","wooden boxes, pallets, coopered products, etc."
"2023","321999","wooden cable reels (cable drums)"
"2023","811310","repairing or reconditioning wooden pallets, shipping drums or barrels, and similar items"
"2029","321920","jewelry boxes, wood or part wood"
"2029","321999","tool handles, utensils, kitchenware, spools, bobbins, reels, toilet seats, and other articles of wood, cork products, such as tiles, bulletin boards, bottle corks and stoppers; straw and straw products, such as baskets, etc."
"2029","324199","fire logs made of pressed wood and purchased refined petroleum binders"
"2029","337920","wooden window blinds and curtain and drapery rods and fixtures"
"2029","339113","cork life preservers"
"2029","339942","frames for artists' canvases"
"2029","339950","wooden signs"
"2029","339991","cork gaskets"
"2029","339999","wooden mirror and picture frames"
"2101","322110","manufacture of pulp and deinking recovered paper"
"2101","322121","paper mills"
"2101","322122","newsprint"
"2101","322130","paperboard"
"2101","322221","coating or laminating purchased paper for packaging uses"
"2101","322222","laminating purchased foil and purchased paper, paper as primary component; coating and laminating paper for other than packaging uses"
"2101","322226","coating purchased paperboard"
"2101","322299","crepe paper (or crinkling paper) made from purchased paper"
"2101","339944","bulk carbon paper or stencil paper in rolls or large sheets"
"2102","322121","corrugated paper or paperboard or containers made in paper mills"
"2102","322130","corrugated paperboard or containers made in paperboard mills"
"2102","322211","corrugated and solid fiber boxes made from purchased paperboard"
"2102","322212","folding paperboard boxes made from purchased paperboard"
"2102","322213","setup paperboard boxes made from purchased paperboard"
"2102","322214","fiber cans, tubes, drums, and similar products made from purchased paper stock"
"2102","322215","nonfolding sanitary food containers made from purchased paperboard"
"2102","322223","coated paper bag manufacturing"
"2102","322224","uncoated and multiwall paper bags"
"2102","322299","die-cut paper products (except office use) made from purchased paper or paperboard"
"2109","322121","sanitary paper goods made in paper mills, paper stationery made in paper mills, manufacture of other articles of paper in paper mills"
"2109","322130","sanitary paper goods, paper stationery, or manufacture of other articles of paper made in paperboard mills"
"2109","322214","cones, bobbins, spools, etc., made from purchased paperboard"
"2109","322215","paper cups, dishes, straws, etc., made from purchased paper or paperboard"
"2109","322222","gummed paper products (sheets, tape) tape, wallpaper, or labels, gummed stock, including printing done at the same establishment made from purchased paper or other materials, including cellophane tape"
"2109","322226","chipboard, coated or laminated, made from purchased paperboard"
"2109","322231","die-cut office supplies such as file cards, folders, adding machine rolls, and similar die-cut products used in offices, die-cut paperboard letters"
"2109","322232","envelopes"
"2109","322233","writing paper, typing paper, tablets, filler paper, and similar paper"
"2109","322291","sanitary products of paper"
"2109","322299","molded pulp cups, trays, dishes and similar sanitary paper goods, molded pulp egg trays and similar items, filters made from purchased paper, cigarette paper (book) made from purchased paper, confetti made from purchased paper"
"2109","323110","lithographic printing on purchased labels or tags"
"2109","323111","gravure printing on purchased labels or tags"
"2109","323112","flexographic printing on purchased labels or tags"
"2109","323113","screen printing on purchased labels and tags"
"2109","323119","other printing on purchased labels and tags"
"2109","339944","ready to use carbon paper, duplicator stencils, etc."
"2109","339991","paper or paperboard gaskets made from purchased paper"
"2211","339999","globes"
"2211","511130","books, encyclopedias, dictionaries, maps, and atlases, includes books on tape "
"2211","511140","telephone books, other directory books"
"2211","511199","catalog and yearbook publishing"
"2212","511110","newspaper publishers"
"2212","511120","advertising periodicals (advertising newspapers that come out weekly), periodical publishers (except advertising)"
"2213","512210","production of records, tapes, CDs, and similar sound recordings"
"2213","512220","integrated record production and distribution"
"2213","512230","music books and sheet music publishing"
"2219","511120","radio, TV, transport, and similar timetables"
"2219","511191","publishing greeting cards"
"2219","511199","art prints or reproductions, posters, racing forms, calendars, paper patterns, and shopping news, and other miscellaneous publishing"
"2221","323110","lithographic newspaper printing, lithographic printing (except newspapers, books, blank books and fillers)"
"2221","323111","gravure newspaper printing, gravure printing (except newspapers, books, blank books, fillers)"
"2221","323112","flexographic newspaper printing, flexographic printing (except newspapers, books, blank books, fillers)"
"2221","323113","screen printing newspapers, screen printing (except newspapers, books, blank books, fillers)"
"2221","323114","short-run offset lithographic printing"
"2221","323115","digital printing of graphical materials"
"2221","323116","printing manifold business forms"
"2221","323117","printing books without publishing books"
"2221","323118","printing looseleaf fillers, blank books, notebooks, diaries, etc."
"2221","323119","other newspaper printing, such as letterpress, other printing of items and miscellaneous printing, n.e.c."
"2221","339950","printing plastic, wood, glass, etc., signs"
"2222","323118","ring binders, looseleaf binders, and related device manufacturing "
"2222","323121","binding, sample mounting and post press services, such as embossing, gilding, edging, etc."
"2222","323122","prepress services and plate making services, miscellaneous activities related to printing, such as punching and drilling, folding, embossing"
"2230","334611","reproducing computer media"
"2230","334612","reproduction of sound or video recording"
"2310","324199","coke oven products, such as coke, gasses, tar"
"2320","324110","refined petroleum products produced from crude in the same establishment, asphalt paving mixtures, compounds, and mastics made in petroleum refineries"
"2320","324191","lubricating oil and grease made from purchased refined petroleum"
"2320","324199","wax, petroleum jelly, and similar products made from purchased refined petroleum"
"2330","325188","manufacture of radio isotopes, uranium, enriched uranium, etc."
"2330","325412","radioactive in-vivo diagnostic substances"
"2330","331419","uranium smelting and refining, primary"
"2330","562211","radioactive waste treatment facilities"
"2411","325110","manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants, cyclic and acyclic hydrocarbons"
"2411","325120","manufacture of industrial gases, including solid carbon dioxide (dry ice)"
"2411","325131","inorganic dyes and pigments"
"2411","325132","synthetic organic dyes and pigments"
"2411","325181","alkalies and chlorine"
"2411","325182","carbon black, bone black, lamp black"
"2411","325188","inorganic tanning agents, all other basic inorganic chemicals, including carbon disulfide"
"2411","325191","natural tanning and dyeing extracts, gum and wood chemicals"
"2411","325192","coal tar distillates, other cyclic crudes and intermediates"
"2411","325193","nonpotable synthetic ethyl alcohol (not fermented)"
"2411","325199","other natural colorings, nonfood, acetic acid and similar, other oxygen function compounds, such as ketone, synthetic glycerol, natural and synthetic alcohols (such as methyl), etc."
"2411","325312","phosphoric acid"
"2411","325612","household lye"
"2412","325188","ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc."
"2412","325311","nitrogenous fertilizer and nitrogenous fertilizer inputs"
"2412","325312","phosphatic fertilizers and inputs"
"2412","325314","mixing purchased inputs to make fertilizer"
"2413","325211","plastics resins"
"2413","325212","synthetic rubber manufacturing"
"2413","325991","custom compounding purchased resins"
"2421","325320","pesticides and other agricultural chemicals in bulk or put up for retail sale"
"2421","325612","household and industrial disinfectants"
"2422","325191","water pigments for finishing leather "
"2422","325510","paints and coatings"
"2422","325520","caulks and mastics (except glues)"
"2422","325910","printing inks, including duplicator"
"2422","325998","textile dye preparations and other household dye or tinting preparations (except hair)"
"2422","339942","artists' paints and colors"
"2423","325199","salicylic acid (nonmedicinal)"
"2423","325411","uncompounded medicinal chemicals and their derivatives"
"2423","325412","pharmaceutical preparations"
"2423","325413","in-vitro diagnostic substances"
"2423","325414","plasma and other processed blood, vaccines, toxoids, and other biological products, agar culture media"
"2423","339113","surgical dressings, surgical sutures, etc., medicated"
"2423","339114","dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations"
"2424","325611","soaps and detergents, toothpastes, gels, etc."
"2424","325612","polishes and other sanitation goods"
"2424","325613","emulsifiers and penetrants "
"2424","325620","premoistened towelettes (hand cleaning), perfumes and toilet preparations, including cosmetics, denture cleaners and adhesives, sunscreen lotions, personal deodorants"
"2424","325998","incense and engine degreasers"
"2424","332999","soap impregnated metal scouring pads"
"2424","339999","potpourri"
"2429","311942","processing purchased salt into table salt"
